12.0   95.0
-57.0   72.0
-16.0  -79.0
-58.0  -82.0
-97.0  -78.0
17.0   34.0
-8.0    1.0
32.0   -5.0
-68.0  -56.0
46.0  -87.0
19.0  -28.0
5.0   40.0
-78.0  -12.0
-88.0  -53.0
-69.0  -90.0
64.0   -3.0
73.0  -68.0
42.0  -10.0
-12.0   64.0
8.0  -25.0
2.0  -83.0
-22.0  -63.0
-63.0   66.0
-95.0   70.0
-49.0   10.0
-80.0  100.0
16.0  -24.0
89.0  -18.0
60.0   10.0
21.0  -28.0
-21.0   90.0
54.0  -72.0
-17.0   78.0
96.0   31.0
1.0   12.0
-100.0   76.0
98.0   48.0
-87.0   13.0
15.0   90.0
59.0   -1.0
42.0   53.0
75.0  -36.0
43.0   17.0
92.0   28.0
-56.0  -47.0
94.0  -36.0
34.0   64.0
-88.0   18.0
96.0   44.0
97.0   87.0
78.0 -100.0
33.0  -40.0
-65.0   61.0
-80.0   45.0
53.0   74.0
90.0  -92.0
52.0   62.0
13.0   92.0
-30.0   21.0
-42.0  -90.0
99.0    7.0
-53.0  -23.0
-43.0   11.0
-37.0   75.0
-9.0   41.0
17.0  -58.0
-60.0   82.0
-9.0   30.0
56.0  -14.0
94.0  -58.0
-25.0  -40.0
-82.0   65.0
16.0  -78.0
-74.0   91.0
-74.0   -2.0
-7.0  -88.0
30.0   17.0
4.0    3.0
-94.0   16.0
-29.0   28.0
-16.0  -77.0
-13.0   55.0
-78.0  -40.0
-10.0   23.0
-4.0   27.0
52.0 -100.0
-24.0  -99.0
-20.0   25.0
-42.0   57.0
96.0  -13.0
-53.0    5.0
-69.0   24.0
-7.0   84.0
-57.0   46.0
100.0   38.0
46.0  -97.0
62.0   34.0
74.0  -57.0
-53.0  -77.0
65.0   26.0
66.0   48.0
22.0   64.0
-50.0   15.0
-53.0  -82.0
-20.0   24.0
-88.0  -44.0
-9.0  -80.0
8.0   45.0
7.0  -35.0
31.0    3.0
-46.0  -75.0
98.0   82.0
-58.0   51.0
51.0  -18.0
-83.0  -57.0
23.0  -94.0
15.0  -22.0
72.0  -83.0
-19.0   86.0
81.0   10.0
36.0  -82.0
-9.0   56.0
21.0  -39.0
-100.0  -81.0
57.0  -39.0
50.0   51.0
-49.0   42.0
-66.0  -93.0
69.0  -80.0
19.0   21.0
8.0   36.0
-65.0   26.0
75.0   47.0
98.0   92.0
-9.0  -51.0
18.0   95.0
-97.0   -8.0
-86.0    3.0
-54.0    8.0
20.0   69.0
51.0   92.0
-39.0  -13.0
-39.0   46.0
-50.0   41.0
-90.0  -56.0
13.0   -6.0
-91.0  -63.0
31.0  -77.0
86.0  -52.0
9.0   28.0
-44.0   -8.0
31.0  -20.0
30.0  -31.0
-45.0  -39.0
95.0  -82.0
-24.0   98.0
-45.0  -89.0
-35.0   75.0
55.0  -24.0
-94.0    6.0
-37.0  -38.0
19.0   62.0
-24.0  -70.0
90.0   81.0
-51.0  -21.0
-29.0   71.0
14.0   15.0
74.0  -61.0
79.0   39.0
41.0   59.0
-23.0  -48.0
43.0  -94.0
-8.0  -32.0
-66.0  -62.0
25.0   40.0
54.0  -66.0
50.0  -28.0
68.0   40.0
-66.0  100.0
-64.0  -44.0
-78.0  -45.0
94.0  -33.0
-98.0   18.0
100.0   63.0
-99.0   35.0
92.0   15.0
-55.0   29.0
90.0   76.0
14.0  -99.0
-46.0   18.0
-9.0  -85.0
50.0   99.0
-36.0   14.0
-56.0   60.0
25.0   33.0
24.0   58.0
34.0   74.0
-25.0   39.0
-9.0  -97.0
20.0  -29.0
